iter	Passed	Remaining
667	3766	1871
668	3772	1866
669	3777	1860
670	3782	1854
671	3787	1848
672	3791	1842
673	3796	1836
674	3802	1830
675	3807	1824
676	3812	1818
677	3817	1812
678	3821	1806
679	3826	1800
680	3830	1794
681	3836	1789
682	3842	1783
683	3848	1777
684	3852	1771
685	3857	1765
686	3863	1760
687	3868	1754
688	3874	1748
689	3879	1742
690	3884	1737
691	3891	1731
692	3896	1725
693	3901	1720
694	3906	1714
695	3911	1708
696	3916	1702
697	3923	1697
698	3928	1691
699	3933	1685
700	3940	1680
701	3944	1674
702	3949	1668
703	3954	1662
704	3958	1656
705	3962	1650
706	3967	1644
707	3972	1638
708	3977	1632
709	3983	1626
710	3988	1621
711	3992	1615
712	3997	1608
713	4001	1602
714	4006	1597
715	4011	1591
716	4016	1585
717	4021	1579
718	4025	1573
719	4030	1567
720	4035	1561
721	4039	1555
722	4044	1549
723	4049	1543
724	4054	1537
725	4060	1532
726	4064	1526
727	4068	1520
728	4074	1514
729	4079	1508
730	4083	1502
731	4088	1496
732	4093	1491
733	4098	1485
734	4103	1479
735	4108	1473
736	4112	1467
737	4119	1462
738	4125	1457
739	4130	1451
740	4136	1445
741	4142	1440
742	4148	1435
743	4153	1429
744	4159	1423
745	4163	1417
746	4169	1412
747	4174	1406
748	4179	1400
749	4184	1394
750	4188	1388
751	4194	1383
752	4198	1377
753	4202	1371
754	4208	1365
755	4213	1359
756	4218	1354
757	4223	1348
758	4228	1342
759	4233	1336
760	4238	1331
761	4243	1325
762	4247	1319
763	4251	1313
764	4256	1307
765	4260	1301
766	4264	1295
767	4269	1289
768	4274	1283
769	4280	1278
770	4286	1273
771	4291	1267
772	4296	1261
773	4302	1256
774	4309	1251
775	4318	1246
776	4324	1241
777	4330	1235
778	4335	1229
779	4343	1225
780	4351	1220
781	4357	1214
782	4361	1208
783	4368	1203
784	4373	1197
785	4377	1191
786	4382	1185
787	4388	1180
788	4392	1174
789	4397	1169
790	4403	1163
791	4410	1158
792	4415	1152
793	4420	1146
794	4426	1141
795	4431	1135
796	4437	1130
797	4442	1124
798	4446	1118
799	4453	1113
800	4459	1107
801	4464	1102
802	4470	1096
803	4474	1090
804	4481	1085
805	4485	1079
806	4491	1074
807	4496	1068
808	4501	1062
809	4506	1057
810	4512	1051
811	4517	1045
812	4521	1040
813	4526	1034
814	4530	1028
815	4535	1022
816	4540	1017
817	4545	1011
818	4550	1005
819	4558	1000
820	4563	994
821	4570	989
822	4580	985
823	4585	979
824	4591	973
825	4596	968
826	4602	962
827	4607	957
828	4611	951
829	4616	945
830	4621	939
831	4626	934
832	4631	928
833	4635	922
834	4640	916
835	4646	911
836	4650	905
837	4655	900
838	4660	894
839	4665	888
840	4671	883
841	4679	878
842	4683	872
843	4688	866
844	4692	860
845	4697	855
846	4703	849
847	4707	843
848	4714	838
849	4721	833
850	4726	827
851	4731	821
852	4739	816
853	4745	811
854	4750	805
855	4755	799
856	4760	794
857	4765	788
858	4772	783
859	4778	777
860	4784	772
861	4790	766
862	4796	761
863	4803	756
864	4808	750
865	4814	744
866	4818	739
867	4823	733
868	4827	727
869	4832	722
870	4837	716
871	4843	710
872	4848	705
873	4853	699
874	4858	694
875	4864	688
876	4870	683
877	4876	677
878	4881	671
879	4886	666
880	4890	660
881	4896	655
882	4903	649
883	4907	643
884	4912	638
885	4917	632
886	4922	627
887	4928	621
888	4933	615
889	4937	610
890	4943	604
891	4948	599
892	4953	593
893	4959	587
894	4966	582
895	4972	577
896	4977	571
897	4982	565
898	4987	560
899	4992	554
900	4998	549
901	5002	543
902	5006	537
903	5010	532
904	5015	526
905	5021	520
906	5026	515
907	5030	509
908	5035	504
909	5039	498
910	5043	492
911	5048	487
912	5055	481
913	5060	476
914	5067	470
915	5073	465
916	5078	459
917	5083	454
918	5088	448
919	5092	442
920	5097	437
921	5102	431
922	5106	425
923	5110	420
924	5117	414
925	5122	409
926	5127	403
927	5132	398
928	5137	392
929	5142	387
930	5147	381
931	5152	375
932	5157	370
933	5162	364
934	5168	359
935	5174	353
936	5177	348
937	5183	342
938	5187	337
939	5192	331
940	5196	325
941	5201	320
942	5206	314
943	5209	309
944	5214	303
945	5220	297
946	5225	292
947	5230	286
948	5234	281
949	5239	275
950	5244	270
951	5250	264
952	5255	259
953	5260	253
954	5265	248
955	5270	242
956	5274	237
957	5279	231
958	5284	225
959	5288	220
960	5292	214
961	5296	209
962	5301	203
963	5305	198
964	5312	192
965	5316	187
966	5321	181
967	5327	176
968	5332	170
969	5337	165
970	5343	159
971	5348	154
972	5353	148
973	5358	143
974	5362	137
975	5366	131
976	5371	126
977	5378	120
978	5383	115
979	5389	109
980	5396	104
981	5401	99
982	5406	93
983	5412	88
984	5417	82
985	5423	77
986	5429	71
987	5433	65
988	5438	60
989	5442	54
990	5446	49
991	5451	43
992	5456	38
993	5461	32
994	5466	27
995	5473	21
996	5477	16
997	5484	10
998	5490	5
999	5494	0
